ability: [Die Fähigkeit, la capacidad]
path: [Der Pfad, el camino]
patient: [Der Patient, el paciente]
pattern: [Das Muster, el patrón]
pause: [Die Pause, la pausa]
pavement: [Der Bürgersteig, el pavimento]
peace: [Der Frieden, la paz]
peak: [Der Spitzer, el pico]
pen: [Der Stift, la pluma]
people: [Das Volk, el pueblo]
performance: [Die Leistung, el desempeño]
period: [Die Periode, el período]
permission: [Die Erlaubnis, el permiso]
person: [Die Person, la persona]
personality: [Die Persönlichkeit, la personalidad]
pet: [Das Haustier, la mascota]
phone: [Das Telefon, el teléfono]
photo: [Das Foto, la foto]
photograph: [Die Fotografie, la fotografía]
phrase: [Der Satz, la frase]
piano: [Das Klavier, el piano]
picture: [Das Bild, la imagen]
piece: [Das Stück, la pieza]
pig: [Das Schwein, el cerdo]
pile: [Der Stapel, la pila]
pilot: [Der Pilot, el piloto]
pipe: [Das Rohr, la tubería]
pit: [Die Grube, el pozo]
pitch: [Die Tonhöhe, el terreno de juego]
pity: [Das Mitleid, la piedad]
place: [Der Ort, el lugar]
plan: [Der Plan, el plan]
plane: [Das Flugzeug, el plano]
planet: [Der Planet, el planeta]
plant: [Die Pflanze, la planta]
plastic: [Der Kunststoff, el plástico]
plate: [Der Teller, la placa]
platform: [Die Platform, la plataforma]
play: [Das Spiel, el juego]
player: [Der Spieler, el jugador]
pleasure: [Die Freude, el placer]
plot: [Die Handlung, la trama]
pocket: [Die Tasche, el bolsillo]
poem: [Das Gedicht, el poema]
poet: [Der Poet, el poeta]
poetry: [Die Poesie, la poesía]
point: [Der Punkt, el punto]
pole: [Der Pol, el polo]
police: [Die Polizei, la policía]
policeman: [Der Polizist, el policía]
policy: [Die Richtlinie, la política]
pond: [Der Teich, el estanque]
pool: [Das Schwimmbecken, la piscina]
pop: [Die Pop, el pop]
population: [Die Bevölkerung, la población]
port: [Der Hafen, el puerto]
portrait: [Das Porträt, el retrato]
position: [Die Position, la posición]
possession: [Der Besitz, la posesión]
possibility: [Die Möglichkeit, la posibilidad]
post: [Die Post, el cargo]
pot: [Der Topf, la olla]
potato: [Die Kartoffel, la papa]
pound: [Das Pfund, la libra]
power: [Die Macht, el poder]
practice: [Die Übung, la práctica]
prayer: [Das Gebet, la oración]
presence: [Das Vorhandensein, la presencia]
present: [Das Geschenk, la presente]
president: [Der Präsident, el presidente]
press: [Die Presse, la prensa]
pressure: [Der Druck, la presión]
price: [Der Preis, el precio]
pride: [Der Stolz, el orgullo]
priest: [Der Priester, el sacerdote]
prince: [Der Prinz, el príncipe]
princess: [Die Prinzessin, la princesa]
principle: [Das Prinzip, el principio]
print: [Die Druck, la impresión]
prison: [Das Gefängnis, la prisión]
prisoner: [Der Gefangene, el prisionero]
prize: [Der Preis, el premio]
problem: [Das Problem, el problema]
procedure: [Das Verfahren, el procedimiento de]
process: [Der Prozess, el proceso de]
product: [Das Produkt, el producto]
production: [Die Produktion, la producción]
professor: [Der Professor, el profesor]
profile: [Das Profil, el perfil]
program: [Das Programm, el programa]
project: [Das Projekt, el proyecto]
promise: [Das Versprechen, la promesa]
proof: [Der Beweis, la prueba]
property: [Die Eigenschaft, la propiedad]
prospect: [Das Prospekt, la perspectiva]
protection: [Der Schutz, la protección]
protest: [Der Protest, la protesta]
public: [Die Öffentlichkeit, el público]
punishment: [Die Strafe, el castigo]
purpose: [Die Absicht, el propósito]
quality: [Die Qualität, la calidad]
quarter: [Das Viertel, el trimestre]
queen: [Die Königin, la reina]
question: [Die Frage, la cuestión]
rabbit: [Der Hase, el conejo]
race: [Das Rennen, la carrera]
radio: [Das Radio, la radio]
rail: [Die Schiene, el riel]
rain: [Der Regen, la lluvia]
range: [Der Bereich, la gama]
rank: [Der Rang, el rango]
rat: [Die Ratte, la rata]
rate: [Die Rate, la tasa]
reaction: [Die Reaktion, la reacción]
reader: [Der Leser, el lector]
reading: [Das Lesen, la lectura]
reality: [Die Realität, la realidad]
reason: [Der Grund, la razón]
receiver: [Der Empfänger, el receptor]
reception: [Die Rezeption, la recepción]
recognition: [Die Erkennung, el reconocimiento]
record: [Der Datensatz, el registro]
reference: [Die Referenz, la referencia]
reflection: [Die Reflexion, el reflejo]
region: [Die Region, la región]
relation: [Die Beziehung, la relación]
relationship: [Das Verhältnis, la relación]
relative: [Die Relative, la relación]
relief: [Das Relief, el alivio]
religion: [Die Religion, la religión]
remark: [Die Bemerkung, la observación]
rent: [Die Miete, el alquiler]
reply: [Die Antwort, la respuesta]
report: [Bericht, el informe]
reporter: [Der Reporter, el reportero]
reputation: [Der Ruf, la reputación]
request: [Die Anforderung, la solicitud]
research: [Die Forschung, La investigación]
resident: [Der Bewohner, el residente]
resource: [Die Ressource, el recurso]
respect: [Der Respekt, el respeto]
response: [Die Antwort, la respuesta]
responsibility: [Die Verantwortung, la responsabilidad]
rest: [Die Rast, el resto]
restaurant: [Das Restaurant, el restaurante]
result: [Das Ergebnis, el resultado]
return: [Die Rückkehr, el regreso]
review: [Die Überprüfung, la revisión]
rhythm: [Der Rhythmus, el ritmo]
ride: [Die Fahrt, el paseo]
right: [Das Recht, el derecho]
ring: [Der Ring, el anillo]
rise: [Der Aufgang, el aumento]
risk: [Das Risiko, el riesgo]
river: [Der Fluss, el río]
road: [Die Straße, la carretera]
rock: [Der Fels, la roca]
rod: [Die Stange, la varilla]
role: [Die Rolle, el papel]
roll: [Die Rolle, el rollo]
roof: [Das Dach, el techo]
room: [Das Zimmer, la habitación]
root: [Der Ursprung, la raíz]
rope: [Das Seil, la cuerda]
rose: [Die Rose, la rosa]
round: [Die Runde, la ronda]
route: [Die Route, la ruta]
routine: [Die Routine, la rutina]
row: [Die Reihe, la fila]
rule: [Die Regel, la regla]
run: [Die Lauf, la carrera]
running: [Das Rennen, el funcionamiento]
safety: [Die Sicherheit, la seguridad]
sake: [Das Wohl, el bien]
salt: [Das Salz, la sal de]
sample: [Das Muster, la muestra]
sand: [Der Sand, la arena]
sandwich: [Das Sandwich, el sándwich]
satellite: [Der Satellit, el satélite]
satisfaction: [Die Zufriedenheit, la satisfacción]
scale: [Die Skala, la escala]
scene: [Die Szene, la escena]
schedule: [Der Stundenplan, el calendario]
school: [Die Schule, la escuela]
science: [Die Wissenschaft, la ciencia]
scientist: [Der Wissenschaftler, el científico]
score: [Die Punktzahl, la puntuación]
screen: [Der Bildschirm, la pantalla]
sea: [Das Meer, el mar]
search: [Die Suche, la búsqueda]
season: [Die Jahreszeit, la temporada]
second: [Der Zweite, la segunda]
secret: [Das Geheimnis, el secreto]
secretary: [Der Sekretär, el secretario]
section: [Die Sektion, la sección]
security: [Die Sicherheit, la seguridad]
seed: [Die Saat, la semilla]
self: [Das Ich, el auto]
sensation: [Die Sensation, la sensación]
sense: [Der Sinn, el sentido]
sentence: [Der Satz, la sentencia]
sequence: [Die Sequenz, la secuencia]
sergeant: [Der Wachtmeister, el sargento]
servant: [Der Diener, el siervo]
service: [Der Service, el servicio]
session: [Die Sitzung, la sesión]
setting: [Die Einstellung, el ajuste]
sex: [Das Geschlecht, el sexo]
shade: [Die Schattierung, la sombra]
shadow: [Der Schatten, la sombra]
shame: [Die Schande, la vergüenza]
shape: [Die Form, la forma]
share: [Das Teilen, la cuota]
sheep: [Das Schaf, las ovejas]
sheet: [Das Blatt, la hoja de]
shelf: [Das Regal, el estante]
shell: [Die Muschel, la concha]
shift: [Die Verschiebung, el cambio]
ship: [Das Schiff, el barco]
shirt: [Das Hemd, la camisa]
shit: [Die Scheiße, la mierda]
shock: [Der Schock, el choque]
shoe: [Der Schuh, el zapato]
shop: [Das Geschäft, la tienda]
shopping: [Das Einkaufen, las compras]
shore: [Die Küste, la orilla]
shot: [Der Schuss, el disparo]
shoulder: [Die Schulter, el hombro]
show: [Die Show, el show]
shower: [Die Dusche, la ducha]
side: [Die Seite, el lado]
sight: [Die Sehenswürdigkeit, la vista]
sign: [Das Schild, el signo]
signal: [Das Signal, la señal]
silence: [Die Stille, el silencio]
silk: [Die Seide, la seda]
silver: [Das Silber, la plata]
sin: [Die Sünde, el pecado]
singer: [Der Sänger, el cantante]
sir: [Die Sir, el señor]
sister: [Die Schwester, la hermana]
site: [Der Standort, el sitio]
situation: [Die Situation, la situación]
size: [Die Größe, el tamaño]
skill: [Das Können, la habilidad]
skin: [Die Haut, la piel]
skirt: [Der Rock, la falda]
sky: [Der Himmel, el cielo]
sleep: [Der Schlaf, el sueño]
slope: [Die Piste, la pendiente]
smell: [Der Geruch, el olor]
smile: [Das Lächeln, la sonrisa]
smoke: [Der Rauch, el humo]
snow: [Der Schnee, la nieve]
society: [Die Gesellschaft, la sociedad]
soil: [Die Erde, el suelo]
soldier: [Der Soldat, el soldado]
solution: [Die Lösung, la solución]
son: [Der Sohn, el hijo]
song: [Das Lied, la canción]
sort: [Die Art, el tipo]
soul: [Die Seele, el alma]
sound: [Der Klang, el sonido]
source: [Die Quelle, la fuente]
south: [Der Süden, el sur]
space: [Der Raum, el espacio]
speaker: [Der Lautsprecher, el altavoz]
speech: [Die Rede, el discurso]
speed: [Die Geschwindigkeit, la velocidad]
spell: [Der Zauber, el hechizo]
spirit: [Der Geist, el espíritu]
sport: [Der Sport, el deporte]
spot: [Der Platz, el punto]
spring: [Der Frühling, la primavera]
squad: [Die Mannschaft, la escuadra]
square: [Das Quadrat, la plaza]
staff: [Das Personal, el personal]
stage: [Die Bühne, la etapa de]
stake: [Der Einsatz, la estaca]
stand: [Der Stand, el soporte]
standard: [Der Standard, la norma]
standing: [Der Ständige, el pie]
star: [Der Stern, la estrella]
start: [Der Anfang, el inicio]
state: [Der Staat, el estado]
statement: [Die Aussage, la declaración]
station: [Der Bahnhof, la estación]
steam: [Der Dampf, el vapor]
steel: [Der Stahl, el acero]
step: [Der Schritt, la etapa de]
stick: [Der Stock, el palo]
stock: [Die Aktie, la acción]
stomach: [Der Bauch, el estómago]
stone: [Der Stein, la piedra]
stop: [Der Halt, la parada]
storage: [Das Speicher, el almacenamiento]
store: [Das Geschäft, la tienda]
storm: [Der Sturm, la tormenta]
story: [Die Geschichte, la historia]
stranger: [Der Fremde, el desconocido]
stream: [Der Strom, la corriente de]
street: [Die Straße, la calle]
strength: [Die Stärke, la fuerza]
string: [Die Schnur, la cadena de]
strip: [Der Streifen, la tira]
stroke: [Der Hub, el trazo]
structure: [Die Struktur, la estructura]
struggle: [Der Kampf, la lucha]
student: [Der Schüler, el estudiante]
studio: [Das Studio, el estudio]
study: [Die Studium, el estudio]
stuff: [Das Zeug, las cosas]
style: [Der Stil, el estilo]
subject: [Das Thema, el sujeto]
success: [Der Erfolg, el éxito]
sugar: [Der Zucker, el azúcar]
suggestion: [Der Vorschlag, la sugerencia]
suicide: [Die Selbstmord, el suicidio]
suit: [Der Anzug, el traje]
summer: [Der Sommer, el verano]
sun: [Die Sonne, el sol]
supply: [Die Versorgung, el suministro]
support: [Die Unterstützung, el apoyo]
surface: [Die Oberfläche, la superficie]
surgery: [Die Operation, la cirugía]
surprise: [Die Überraschung, la sorpresa]
suspicion: [Der Verdacht, la sospecha]
swimming: [Das Schwimmen, la natación]
switch: [Der Schalter, el interruptor]
sword: [Das Schwert, la espada]
symbol: [Das Symbol, el símbolo]
sympathy: [Die Sympathie, la simpatía]
system: [Das System, el sistema de]
table: [Der Tisch, la tabla]
tail: [Der Schweif, la cola]
tale: [Das Märchen, el cuento]
talent: [Das Talent, el talento]
talk: [Das Gespräch, la charla]
tank: [Der Panzer, el tanque]
tape: [Das Band, la cinta]
target: [Das Ziel, el objetivo]
task: [Die Aufgabe, la tarea]
taste: [Der Geschmack, el sabor]
tax: [Die Steuer, el impuesto]
taxi: [Das Taxi, el taxi]
tea: [Der Tee, el té]
teacher: [Der Lehrer, el profesor]
team: [Das Team, el equipo]
tear: [Die Reiß, el desgarro]
technology: [Die Technologie, la tecnología]
teenager: [Der Teenager, el adolescente]
telephone: [Das Telefon, el teléfono]
television: [Das Fernsehen, la televisión]
temperature: [Die Temperatur, la temperatura]
temple: [Der Tempel, el templo]
tension: [Die Spannung, la tensión]
term: [Der Begriff, el término]
territory: [Das Territorium, el territorio]
test: [Der Test, la prueba]
text: [Der Text, el texto]
theory: [Die Theorie, la teoría]
thing: [Das Ding, la cosa]
thinking: [Das Denken, el pensamiento]
thought: [Der Gedanke, el pensamiento]
threat: [Die Bedrohung, la amenaza]
throat: [Der Hals, la garganta]
ticket: [Das Ticket, el billete]
tide: [Die Gezeiten, la marea]
tie: [Das Band, el empate]
time: [Die Zeit, el tiempo]
tin: [Die Dose, el estaño]
tip: [Das Trinkgeld, la punta]
tissue: [Das Gewebe, el tejido]
title: [Den Titel, el título]
toilet: [Die Toilette, el inodoro]
tone: [Der Ton, el tono]
tongue: [Die Zunge, la lengua]
tool: [Das Werkzeug, la herramienta]
tooth: [Der Zahn, el diente]
top: [Die Spitze, la parte superior]
topic: [Das Thema, el tema]
touch: [Die Berührung, el toque]
tour: [Die Reise, la gira]
tourist: [Der Tourist, el turista]
tower: [Der Turm, la torre]
town: [Die Stadt, la ciudad]
toy: [Das Spielzeug, el juguete]
trace: [Die Spur, la traza]
track: [Die Strecke, la pista]
trade: [Der Handel, el comercio]
tradition: [Die Tradition, la tradición]
traffic: [Der Verkehr, el tráfico]
tragedy: [Die Tragödie, la tragedia]
train: [Der Zug, el tren]
training: [Das Training, la formación]
travel: [Die Reise, el recorrido]
tray: [Die Schale, la bandeja]
treatment: [Die Behandlung, el tratamiento]
tree: [Der Baum, el árbol]
trial: [Die Studie, el juicio]
trick: [Der Trick, el truco]
trip: [Die Reise, el viaje]
troop: [Die Truppe, la tropa]
trouble: [Die Schwierigkeiten, el problema]
truck: [Der Lkw, el camión]
trust: [Das Vertrauen, la confianza]
truth: [Die Wahrheit, la verdad]
tube: [Das Rohr, el tubo]
tune: [Die Melodie, la melodía]
tunnel: [Der Tunnel, el túnel]
turn: [Die Wende, la vuelta]
twin: [Der Zwilling, el gemelo]
type: [Der Typ, el tipo de]
uncle: [Der Onkel, el tío]
understanding: [Das Verständnis, la comprensión]
uniform: [Die Uniform, el uniforme]
union: [Die Union, la unión]
unit: [Die Einheit, la unidad]
universe: [Das Universum, el universo]
university: [Die Universität, la universidad]
use: [Die Verwendung, el uso]
valley: [Das Tal, el valle]
value: [Der Wert, el valor]
van: [Der Van, la furgoneta]
variety: [Die Vielfalt, la variedad]
vegetable: [Das Gemüse, el vegetal]
vehicle: [Das Fahrzeug, el vehículo]
version: [Die Version, la versión]
vessel: [Das Schiff, el buque]
victim: [Das Opfer, la víctima]
victory: [Der Sieg, la victoria]
video: [Das Video, el video]
view: [Die Aussicht, la vista]
village: [Das Dorf, el pueblo]
violence: [Die Gewalt, la violencia]
vision: [Die Sicht, la visión]
visit: [Der Besuch, la visita]
visitor: [Der Besucher, el visitante]
voice: [Die Stimme, la voz]
volume: [Das Volumen, el volumen]
walk: [Das Wandern, la caminata]
wall: [Die Mauer, la pared]
war: [Der Krieg, la guerra]
ward: [Das Mündel, la sala]
warmth: [Die Wärme, el calor]
warning: [Die Warnung, la advertencia]
waste: [Der Müll, los residuos]
watch: [Die Uhr, el reloj]
water: [Das Wasser, el agua]
wave: [Die Welle, la ola]
way: [Der Weg, el camino]
weakness: [Die Schwäche, la debilidad]
weapon: [Die Waffe, el arma]
weather: [Das Wetter, el clima]
week: [Die Woche, la semana]
weekend: [Das Wochenende, el fin de semana]
weight: [Das Gewicht, el peso]
wheel: [Das Rad, la rueda]
white: [Das Weiß, el blanco]
whole: [Das Ganze, el conjunto]
widow: [Die Witwe, la viuda]
wife: [Die Ehefrau, la esposa]
will: [Der Wille, la voluntad]
wind: [Der Wind, el viento]
window: [Das Fenster, la ventana]
wine: [Der Wein, el vino]
wing: [Der Flügel, el ala]
winter: [Der Winter, el invierno]
wire: [Das Kabel, el alambre]
wish: [Der Wunsch, el deseo]
witness: [Der Zeuge, el testigo]
woman: [Die Frau, la mujer]
wonder: [Das Wunder, la maravilla]
wood: [Das Holz, la madera]
wool: [Die Wolle, la lana]
word: [Das Wort, la palabra]
work: [Die Arbeit, la obra]
worker: [Der Arbeiter, el trabajador]
world: [Die Welt, el mundo]
worry: [Die Sorge, la preocupación]
worth: [Der Wert, la pena]
wound: [Die Wunde, la herida]
writer: [Der Verfasser, el escritor]
writing: [Das Schreiben, la escritura]
yard: [Der Hof, el patio]
year: [Das Jahr, el año]
youth: [Die Jugend, la juventud]
zone: [Die Zone, la zona]
